# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

16.406840674101748 3151.883297115062
16.570909080842764 3080.1745740434844
16.73661817165119 3013.3627540622883
16.903984353367704 2944.864723623381
17.073024196901383 2881.03650594419
17.243754438870397 2815.6031695633474
17.4161919832591 2754.6231939411487
17.590353903091692 2692.115284128325
17.76625744212261 2633.8544179510723
17.943920016543835 2574.1390841375032
18.123359216709275 2518.474132365101
18.304592808876368 2461.4246415872835
18.48763873696513 2408.2380703166896
18.672515124334783 2353.733521986227
18.85924027557813 2302.9131950524866
19.04783267833391 2250.8382492176192
19.23831100511725 2202.277177182707
19.43069411516842 2152.5217955492094
19.625001056320105 2106.117896476486
19.821251066883306 2058.577095642401
20.019463577552138 2014.2329671460343
20.21965821332766 1968.8065834617753
20.421854795460934 1926.4292854302078
20.626073343415545 1883.0217509044503
20.8323340768497 1842.522598450675
21.0406574176182 1801.0427271992735
21.251063991794382 1762.3370933168133
21.463574631712326 1722.6978780512673
21.67821037802945 1685.705005524876
21.894992481809744 1647.8234235930822
22.113942406627842 1612.466245735844
22.335081830694122 1576.2630742784756
22.558432649001062 1542.468044058843
22.784016975491074 1507.867683834087
23.011857145245983 1475.5646110124744
23.241975716698445 1442.4949184822183
23.474395473865428 1411.6168143690134
23.709139428604082 1380.008941657645
23.946230822890122 1350.4918711370087
24.185693131119024 1320.2801134930908
24.427550062430214 1292.0630539590707
24.671825563054515 1263.1847043527266
24.91854381868506 1236.2094112494485
25.167729256871908 1208.6046217809214
25.419406549440627 1182.8155004120272
25.673600614935033 1156.4271502019876
25.930336621084383 1130.6401912723168
26.189639987295227 1106.5447027895339
26.45153638716818 1081.8926952429292
26.71605175103986 1058.8545849228506
26.983212268550258 1035.2867177935511
27.25304439123576 1013.2587686838383
27.52557483514812 990.7265409459405
27.8008305834996 969.6636778698643
28.078838889334595 948.1207919813461
28.35962727822794 927.9799830344477
28.64322355101022 907.3822434540768
28.92965578652032 887.2517097776714
29.218952344385524 868.4276225066507
29.51114186782938 849.1791778803417
29.806253286507673 831.1774290750626
30.10431581937275 812.7717427762283
30.40535897756648 795.5557625492851
30.709412567342145 777.9552853599903
31.016506693015568 760.7528066229825
31.326671759945725 744.6590388713821
31.639938477545183 728.2081900835893
31.956337862320634 712.8154351096747
32.27590124094384 697.0827907405875
32.59866025335328 682.3599577926677
32.92464685588681 667.3136027319849
33.253893324445684 652.6064373000299
33.58643225769014 638.8404630461899
33.922296580267044 624.7740430234536
34.261519546069714 611.6059213881433
34.60413474153041 598.1518283987132
34.95017608894571 585.0003516939659
35.29967784983517 572.6862128042224
35.65267462833352 560.1065065308741
36.00920137461686 547.8093634019625
36.369293388363026 536.2927813905721
36.73298632224666 524.5295832758248
37.100316185469126 513.5114477793479
37.47131934732382 502.25858700637883
37.84603254079706 491.25791398677535
38.22449286620503 480.95185173673536
38.60673779486709 470.42782132254376
38.99280517281576 460.13931972266914
39.38273322454391 450.49843235115867
39.77656055678935 440.65514121392715
40.17432616235724 431.0318390564718
40.57606942398081 422.01237065414716
40.98183011822062 412.8049551688855
41.39164841940283 403.80303161682434
41.80556490359685 395.3641549159731
42.22362055263282 386.75075901147704
42.645856758159155 378.3293297384947
43.072315325740746 370.43294704105597
43.50303847899816 362.37451748236725
43.93806886378814 354.4954348613271
44.37744955242602 347.1059926867344
44.82122404795028 339.56608848188387
45.26943628842979 332.19375555355435
45.72213065131409 324.9851891976041
46.17935195782723 318.2226869883363
46.6411454774055 311.32388425047935
47.107556932179556 304.5781132855613
47.57863250150135 297.98190565077715
48.05441882651637 291.7921100121028
48.53496301478153 285.47884718170025
49.02031264492935 279.3053603016358
49.51051577137864 273.2684870060955
50.00562092909243 267.60194029076666
50.505677138383355 261.82355623983045
51.01073390976719 256.1728608768034
51.52084124886486 250.64697047660857
52.03604966135351 245.2430677519598
52.55641015796704 240.16885843681632
53.08197425954671 234.99581873458203
53.61279400214218 229.9368143385249
54.148921942163604 224.9892757142438
54.69041116158524 220.15069240414314
55.23731527320109 215.41861164361174
55.7896884259331 210.97334015197046
56.34758531019243 206.44286683708728
56.911061163294356 202.0119712131929
57.4801717749273 197.6784157024675
58.054973492676574 193.44001404153965
