X0394V    4504  1.12 -1.81  10.0                SB* # Spec. Bin. (DECREASED S/N)  
X0632V    4520  1.47 -1.18 100.0           ChemPec* # XSL
X0633V    4520  1.48 -0.88 100.0               AGB* # XSL, m0961V AE: 4326 0.89 -0.68
X0132V    4590  1.34  0.19 100.0              RedSG # SB (based on Luck 2014: 4626 1.50 0.26) 
X0003V    4528  2.55 -0.31 100.0               RGB* # XSL 
X0634V    4545  2.59  0.23 100.0               Star # XSL
X0635V    4555  2.05 -0.86 100.0               RGB* # XSL  m0959V, AE: 4292 1.73 -0.92
X0174V    4571  2.64 -0.03 100.0               Star # XSL
X0094V    4591  2.25 -0.08 100.0               Star # XSL, ng065V: 4596.  2.26 -0.04
X0390V    4563  1.48 -1.69 100.0           ChemPec* # SB 
X0637V    4611  1.64 -0.85 100.0               AGB* # XSL  m0957V, AE: 4108 1.32 -1.11
X0398V    4614  2.74 -0.10 100.0               Star # XSL
X0042V    4694  2.65 -0.02 100.0               Star # PERDELWITZ2024A&A...683A.125P
X0004V    4631  2.52 -0.09 100.0               RGB* # XSL
X0095V    4631  2.71 -0.19 100.0                 ** # XSL
X0184V    4634  2.25  0.00 100.0               Star # XSL
X0033V    4638  1.23 -1.65  10.0                SB* # XSL, Spec. Bin. (DECREASED S/N)  
X0157V    4645  1.22  0.13 100.0              RedSG # SB
X0252V    4638  4.69 -0.01 100.0            HighPM* # Luck2017AJ....153...21L
X0638V    4695  1.55 -2.37 100.0               RGB* # SB
X0306V    4640  2.04 -0.24 100.0               Star # XSL 
X0147V    4644  1.72 -1.20 100.0            HighPM* # XSL, ng129V: 4657. 2.31 -1.09 
X0639V    4644  2.34 -0.31 100.0               Star # XSL
X0183V    4663  2.50 -0.11  10.0                SB* # XSL, Spec. Bin. (DECREASED S/N)  
X0020V    4599  1.36 -2.39 100.0           ChemPec* # SB (XSL: logg a bit low)
X0066V    4690  2.47 -0.82 100.0               RGB* # XSL, m0966V (AE: 4742 2.23 -0.34, F too low compared to others)
X0106V    4870  4.57 -0.13 100.0            HighPM* # SB
X0429V    4520  4.63 -1.61 100.0            HighPM* # SB
X0150V    4709  2.47 -0.31 100.0            HighPM* # XSL
X0022V    4716  1.56 -1.77 100.0           ChemPec* # XSL
X0342V    4653  1.31 -2.23  10.0                SB* # Jonsson2020AJ....160..120J, Spec. Bin. (DECREASED S/N)  
X0001V    4723  2.03 -0.04 100.0             RCrBV* # XSL
X0640V    4729  2.31 -0.88 100.0               RGB* # XSL, m0949V (AE: 5113 3.10 -0.03, T too high)
X0129V    4737  2.64  0.07 100.0               Star # XSL
X0302V    4740  2.51 -0.08 100.0               Star # XSL
X0013V    4747  1.43 -1.27 100.0           ChemPec* # XSL
X0103V    4753  2.76  0.20 100.0               Star # XSL
X0058V    4773  1.48 -1.21 100.0               AGB* # SB
X0167V    4758  1.76  0.02 100.0               Star # XSL (AE: Teff 4758, Fe/H=0.02) 
X0642V    4759  2.93 -0.46 100.0               Star # XSL  
X0388V    4867  4.59  0.32 100.0            HighPM* # SB
X0643V    4773  2.48 -0.84 100.0               RGB* # XSL (m0948V, AE: 4807 2.52 -0.47) 
X0198V    4778  2.63  0.14 100.0               Star # XSL
X0320V    4781  2.36 -0.01 100.0               Star # XSL
X0193V    4792  2.64  0.02 100.0               Star # XSL
X0430V    4801  4.60 -1.79 100.0            HighPM* # XSL
X0116V    4859  2.84  0.11 100.0            HighPM* # SB
X0152V    4918  3.61  0.17 100.0            HighPM* # SB 
X0364V    4818  4.63  0.07 100.0            HighPM* # XSL (SB logg a bit low)
X0054V    4825  1.86 -0.24 100.0               Star # XSL (SB from 2008 paper)
X0178V    5021  3.32  0.11 100.0            HighPM* # SB 
X0336V    4846  2.13  0.09 100.0               Star # XSL 
X0366V    5084  2.18 -1.75  10.0                SB* # KARINKUZHI2021A&A...645A..61K, Spec. Bin. (DECREASED S/N)  
X0100V    4899  2.21 -1.61 100.0            HighPM* # SB
X0005V    4879  1.54 -1.55 100.0               RGB* # XSL 
X0363V    4880  2.74  0.05 100.0            HighPM* # XSL
X0281V    4912  4.51  0.00  10.0                SB* # SB, Spec. Bin. (DECREASED S/N) 
X0173V    4928  2.43 -0.69 100.0            HighPM* # XSL
X0288V    4928  2.61  0.00 100.0               Star # XSL
X0312V    4931  1.69 -0.05 100.0               Star # XSL
X0024V    4792  1.86 -2.27 100.0           ChemPec* # SB 
X0346V    4962  1.82 -0.04  10.0                SB* # XSL, Spec. Bin. (DECREASED S/N) 
X0332V    4977  2.74  0.08 100.0               Star # XSL
X0648V    4996  2.13 -0.94 100.0               RGB* # XSL, m0962V (AE: 4923.39 1.79 -1.00, log g a bit too low) 
X0382V    5006  2.97  0.16 100.0               Star # XSL
X0325V    5026  2.54 -0.08 100.0               Star # XSL
X0240V    5043  2.66 -1.23 100.0               RGB* # SB (very similar to XSL) 
X0176V    5040  2.64 -0.09 100.0               Star # XSL
X0243V    5062  1.95 -1.06 100.0            HighPM* # XSL (ng219V, PARAM_NGSL: 4972.  2.53 -1.08)
X0162V    5063  2.45 -0.09 100.0               Star # XSL
X0014V    5084  1.99 -1.87 100.0           ChemPec* # XSL
X0403V    5092  2.74 -2.69 100.0           ChemPec* # XSL
X0145V    5125  2.27 -0.01 100.0               Star # XSL
X0180V    5127  2.38  0.03 100.0               Star # XSL
X0352V    5127  2.80 -0.26 100.0               Star # XSL
X0188V    5132  2.59 -0.04 100.0                 ** # XSL
X0045V    5163  1.96 -1.54 100.0           ChemPec* # XSL (ng019V, PARAM_NGSL: 5075.  2.86 -1.44)
X0055V    5200  1.00 -1.77 100.0           Type2Cep # XSL (large scatter in the lit.)
X0353V    5206  2.55 -0.07 100.0               Star # XSL (SB logg a bit low)
