#ID    T_XSL  gXSL  fXSL  T_SB  g_SB  f_SB  TL17  gL17  fL17  TL18  gL18  fL18  T_MA  g_MA  f_MA  TL14  gL14  fL14    T_JO  g_JO  f_JO  T_KU  g_KU  f_KU N_LI   T_LI   sigT  g_LI sigg   f_LI  sigf   NGSL TNGSL gNGSL fNGSL             SP_TYPE                  Simbad_NAME     
X0438V  3592  0.69 -0.60     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00  3815.8  0.20 -0.62     0  0.00  0.00   4  3808.0  129.6  0.65 0.27 -0.623 0.029      0     0  0.00  0.00       M0.5-M4.5Ia-Ib                     RedSG                     SV* HV  2728
X0583V  3593  0.14 -0.44     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   4  3591.0   56.6  0.08 0.05 -0.450 0.215      0     0  0.00  0.00                    ~                      Star                  NGC  5139  3812
X0443V  3607  0.88 -0.98     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   2  3738.0  193.1  0.70 0.27 -0.998 0.027      0     0  0.00  0.00                 M2Ia                     RedSG                     SV* HV  2232
X0469V  3631  0.54 -0.21     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   2  3631.0    1.5  0.54 0.01 -0.210 0.029      0     0  0.00  0.00                   M2              LongPeriodV*               SHV 0531398-701050
X0433V  3637  0.68 -0.91     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   3  3770.0  107.2  0.68 0.01 -0.580 0.233      0     0  0.00  0.00                  M4I                     RedSG                     SV* HV   986
X0460V  3641  1.05 -0.61     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3641.0    0.0  1.05 0.00 -0.610 0.000      0     0  0.00  0.00                   M2                      Mira                        [L71] C38
X0587V  3675  0.87 -0.17     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3675.0    0.0  0.87 0.00 -0.170 0.000      0     0  0.00  0.00                    ~                     Blend                  IRAS 10151-6008
X0465V  3677  0.79 -0.46     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3677.0    0.0  0.79 0.00 -0.460 0.000      0     0  0.00  0.00                   M1              LongPeriodV*               SHV 0525012-694829
X0379V  3692  1.34 -0.37     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   2  3700.5   12.5  1.44 0.15 -0.305 0.096 ng358V  3626  1.54 -0.24                   K5    LongPeriodV*_Candidate                        V* PX Peg
X0133V  3698  4.81 -0.59     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00  3571  4.90 -0.40     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   6  3698.0  180.6  4.81 0.28 -0.590 0.355 ng112V  3674  4.71 -0.84                M1VIp                   HighPM*                        HD  33793
X0410V  3706  4.77 -0.49     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00  3712  4.69 -0.46   3  3706.0   14.3  4.77 0.06 -0.490 0.050      0     0  0.00  0.00                  M0V                   HighPM*                       L  547-159
X0453V  3713  1.06 -0.99     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   4  3712.0    2.4  1.08 0.03 -0.990 0.014      0     0  0.00  0.00                   M0              LongPeriodV*               SHV 0448341-691510
X0194V  3721  1.19 -0.31     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   4  3712.0  119.6  1.17 0.40 -0.300 0.109      0     0  0.00  0.00                   K5              LongPeriodV*                        V* MQ Hya
X0048V  3728  0.85 -0.74     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   1  3728.0    0.0  0.85 0.00 -0.740 0.000      0     0  0.00  0.00                  K5e              LongPeriodV*           Cl* NGC  121      T V1
X0466V  3752  0.67 -0.28     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0  0.00  0.00     0.0  0.00  0.00     0  0.00  0.00   2  3787.0   51.6  0.57 0.14 -0.385 0.155      0     0  0.00  0.00                    ~                 Variable*               SHV 0526364-693639
