typed ident		 identifier		 typ	    coord1 (ICRS,J2000/2000)		      pm	     plx	rv/z      Mag B	   Mag V     Mag R     Mag I     Mag J	   Mag H     Mag K     spec. type      
------------ ----------------------------------- --- --------------------------------------- -------------------- ---------- ----------- --------- --------- --------- --------- --------- --------- --------- ---------------------
HD000319     HD 319				 PM* 00 07 46.8995868600 -22 30 30.805174800  68.586 -35.437	  11.6897      -4.67	 6.055     5.923	  ~	    ~	 5.601     5.509     5.479     A1VbmA2_lB	    
HD000330     HD 330				 PM* 00 08 04.6907785008 +53 47 46.501807236  72.478 -59.953	  10.2211     -41.96	 8.74	   8.17 	  ~	    ~	 6.992     6.668     6.629     F8V		    
HD000400     HD 400				 PM* 00 08 40.9385785968 +36 37 37.652234016 -114.128 -124.518    30.6686     -15.163	      ~ 	~    5.9	    ~	      ~ 	~    12.36     F8IV		    
HD000448     * 87 Peg				 PM* 00 09 02.4247431528 +18 12 43.074790956 140.876 -25.250	  10.8284     -20.23	 6.607     5.555	  ~	    ~	 4.020     3.476     3.321     G9III		    
HD000787     HD 787				 PM* 00 12 09.9845643792 -17 56 17.702925108  51.175 -29.035	  4.397        -7.5066   6.740     5.265	  ~	    ~	 2.701     2.03      1.85      K4III		    
HD000886     * gam Peg  			 bC* 00 13 14.1523490172 +15 11 00.954346538   0.492 -10.730	  6.9474       -0.66	 2.61	   2.84      2.94      3.13	 3.500     3.638     3.770     B2IV		    
HD001326 B   HD 1326B				 PM* 00 18 25.8251408611 +44 01 38.092431857 2862.796 336.432	  280.6947     11.17	 12.84     11.04     10.3	    ~	 6.789     6.191     5.948     M3.5V		    
HD001461     HD 1461				 PM* 00 18 41.8676757921 -08 03 10.803829898 417.579 -143.900	  42.7308     -10.137	 7.14	   6.46 	  ~	    ~	 5.329     5.041     4.897     G3VFe0.5 	    
HD001918     HD 1918				 *   00 23 43.2410842176 +45 05 20.901993612   37.720 16.955	  4.157        35.7	 8.59	   7.62 	  ~	    ~	 5.853     5.338     5.228     G9III		    
HD002628     * 28 And				 dS* 00 30 07.3651144632 +29 45 05.608065024  42.976 -56.675	  16.0963     -10.307	 5.467     5.214	  ~	    ~	 4.856     4.688     4.457     A7III		    
HD002665     HD 2665				 PM* 00 30 45.4469338728 +57 03 53.628989292  41.669 -64.713	  3.7263     -382.272	 8.51	   7.72 	  ~	    ~	 6.026     5.603     5.474     G5IIIw		    
HD002796     HD 2796				 Pe* 00 31 16.9147531152 -16 47 40.790991624  -1.181 -51.169	  1.5519      -60.70	 9.28	   8.50      8.14      8.67	 6.853     6.391     6.256     Fw		    
HD002857     HD 2857				 HB* 00 31 53.7908406120 -05 15 42.870486708  -8.212 -65.317	  1.3968     -155.04	 10.17     9.98 	  ~	    ~	 9.481     9.354     9.323     A2IV		    
HD002910     * 52 Psc				 PM* 00 32 35.4848082672 +20 17 39.543706680 135.640 -47.447	  11.7438     -12.07	 6.443     5.370	  ~	    ~	 3.741     3.159     2.950     K0III		    
HD003008     V* CM Cet  			 LP? 00 33 14.3108581872 -10 43 42.728423844   15.153 -8.080	  0.4421      -79.80	 10.66     9.48      8.84      9.06	 7.181     6.603     6.417     G3/5V		    
HD003360     * zet Cas  			 bC? 00 36 58.2844874846 +53 53 48.877599163   17.444 -9.523	  6.6657       -0.20	 3.47	   3.66      3.74      3.95	 4.135     4.248     4.247     B2IV		    
HD003369     * pi. And  			 SB* 00 36 52.8513216207 +33 43 09.636294654   14.669 -3.385	  5.6563     	8.20	 4.20	   4.36      4.40      4.52	 4.65	   4.68      4.625     B5V		    
HD003546     * eps And  			 PM* 00 38 33.3474310042 +29 18 42.311618884 -228.701 -253.206    19.2451     -83.958	 5.25	   4.38      3.70      3.19	 2.58	   2.154     2.07      G7IIIFe-3CH1	    
HD003567     HD 3567				 PM* 00 38 31.9473242153 -08 18 33.392826667 20.630 -546.542	  8.5179      -48.20	 9.70	   9.23 	  ~	    ~	 8.218     7.933     7.889     F7/8wF3  	    
HD003574     HD 3574				 *   00 39 09.8940906336 +49 21 16.517849688	7.169 -2.908	  2.1129       -6.46	 7.072     5.419	  ~	    ~	 2.64	   1.768     1.599     K5III		    
HD003628     HD 3628				 PM* 00 39 13.2642083565 +03 08 02.129163830 784.820 298.270	  22.9638     -27.075	 7.969     7.339     6.9	    ~	 6.192     5.896     5.806     G3V		    
HD003651     * 54 Psc				 PM* 00 39 21.8053928046 +21 15 01.712899720 -461.948 -369.624    90.0248     -32.898	 6.71	   5.88      5.21      4.82	 4.47	   4.03      3.999     K0.5V		    
