BD+19_4601    m1001V
BD+22_4454    m1002V
BD+25_2555    m1003V
BD+33_4707    m1004V
BD+20_2594    m1005V
BD+36_2165    m1006V
BD+26_2251    m1007V
BD-01_0306    m1008V
BD+51_1696    m1009V
BD+42_2667    m1010V
HD000070      m1011V
HD000101      m1012V
HD000153      m1013V
HD000330      m1014V
HD000787      m1015V
HD002910      m1016V
HD003628      m1017V
HD004188      m1018V
HD004915      m1019V
HD005494      m1020V
HD006312      m1021V
HD006734      m1022V
HD006920      m1023V
HD008207      m1024V
HD008389A     m1025V
HD009430      m1026V
HD011045      m1027V
HD011505      m1028V
HD011592      m1029V
HD011749      m1030V
HD011964A     m1031V
HD013403      m1032V
HD015779      m1033V
HD016067      m1034V
HD016397      m1035V
HD016400      m1036V
HD018757      m1037V
HD019270      m1038V
HD019467      m1039V
HD019845      m1040V
HD020791      m1041V
HD021019      m1042V
HD025173      m1043V
HD025602      m1044V
HD025604      m1045V
HD027348      m1046V
HD028005      m1047V
HD029400      m1048V
HD029574      m1049V
HD030557      m1050V
HD030562      m1051V
HD031539      m1052V
HD034200      m1053V
HD034559      m1054V
HD036283      m1055V
HD036909      m1056V
HD037124      m1057V
HD039910      m1058V
HD040020      m1059V
HD042341      m1060V
HD043023      m1061V
HD045350      m1062V
HD050281      m1063V
HD051530      m1064V
HD052265      m1065V
HD052919      m1066V
HD053329      m1067V
HD054717      m1068V
HD060318      m1069V
HD063332      m1070V
HD064815      m1071V
HD064967      m1072V
HD066428      m1073V
HD071088      m1074V
HD073344      m1075V
HD073400      m1076V
HD074014      m1077V
HD075530      m1078V
HD078050      m1079V
HD080218      m1080V
HD085902      m1081V
HD087838      m1082V
HD089454      m1083V
HD092788      m1084V
HD094835      m1085V
HD098356      m1086V
HD099126      m1087V
HD099233      m1088V
HD100777      m1089V
HD103912      m1090V
HD104783      m1091V
HD108076      m1092V
HD108317      m1093V
HD109303      m1094V
HD111031      m1095V
HD112001      m1096V
HD114174      m1097V
HD116976      m1098V
HD117043      m1099V
HD118659      m1100V
HD119173      m1101V
HD120452      m1102V
HD122064      m1103V
HD122149      m1104V
HD123265      m1105V
HD123710      m1106V
HD124330      m1107V
HD129209      m1108V
HD132254      m1109V
HD134088      m1110V
HD136713      m1111V
HD136925      m1112V
HD139457      m1113V
HD140573      m1114V
HD141680      m1115V
HD141937      m1116V
HD142198      m1117V
HD143295      m1118V
HD144046      m1119V
HD145937      m1120V
HD146791      m1121V
HD149750      m1122V
HD149996      m1123V
HD151504      m1124V
HD151655      m1125V
HD154931      m1126V
HD154962      m1127V
HD157172      m1128V
HD157467      m1129V
HD159062      m1130V
HD160315      m1131V
HD161239      m1132V
HD163363      m1133V
HD165173      m1134V
HD165401      m1135V
HD166578      m1136V
HD168151      m1137V
HD168159      m1138V
HD168653      m1139V
HD168746      m1140V
HD171620      m1141V
HD171994      m1142V
HD173701      m1143V
HD175179      m1144V
HD175317      m1145V
HD175743      m1146V
HD176377      m1147V
HD176598      m1148V
HD176796      m1149V
HD176841      m1150V
HD176986      m1151V
HD183870      m1152V
HD184601      m1153V
HD186379      m1154V
HD187195      m1155V
HD187739      m1156V
HD187923      m1157V
HD191533      m1158V
HD191649      m1159V
HD192031      m1160V
HD192145      m1161V
HD192718      m1162V
HD192787      m1163V
HD192836      m1164V
HD193844      m1165V
HD194497      m1166V
HD195330      m1167V
HD196134      m1168V
HD196892      m1169V
HD198075      m1170V
HD198089      m1171V
HD198109      m1172V
HD198390      m1173V
HD198431      m1174V
HD199960      m1175V
HD203384      m1176V
HD204306      m1177V
HD207978      m1178V
HD208111      m1179V
HD209858      m1180V
HD210277      m1181V
HD210457      m1182V
HD210855      m1183V
HD212320      m1184V
HD212496      m1185V
HD212858      m1186V
HD213575      m1187V
HD215030      m1188V
HD215065      m1189V
HD215152      m1190V
HD215257      m1191V
HD215721      m1192V
HD216179      m1193V
HD216631      m1194V
HD218172      m1195V
HD218209      m1196V
HD218637      m1197V
HD220117      m1198V
HD220339      m1199V
HD221356      m1200V
HD222493      m1201V
HD222794      m1202V
HD225197      m1203V
HD055575      m1204V
HD148513      m1205V
LTT3069       m1301V
G102-004      m1302V
G106-036      m1303V
G143-035      m1304V
G272-119      m1305V
G083-029      m1306V
GJ_768.1B     m1307V
HD125455B     m1308V
HD038529B     m1309V
HD046375B     m1310V
HD050281B     m1311V
L442-13       m1312V
LP659-4       m1313V
LP703-44      m1314V
LTT2544       m1315V
BD-07_0781C   m1316V
LHS49         m1317V
HD173818      m1318V
HD118100      m1319V
HD209290      m1320V
HD217357      m1321V
HIP070472     m1322V
CD-27_14169   m1323V
HIP100047     m1324V
