m1079V   4974.0   2.38  -0.96   241.6  0.330  0.330   1
m1102V   4738.0   2.58  -0.02   152.7 -0.070 -0.070   1
m1004V   4660.0   4.20  -0.60   390.6  0.510  0.510   1
m1040V   4951.0   3.03   0.14   188.9  0.000  0.000   1
m1058V   4604.0   2.31   0.26   133.6 -0.090 -0.090   1
m1063V   4767.0   4.54   0.02   205.0  0.000  0.000   0
m1066V   4660.0   4.55  -0.11   153.2  0.110  0.110   1
m1103V   4867.0   4.56   0.20   150.1  0.000  0.000   1
m1111V   4981.0   4.55   0.13   152.9  0.120  0.120   1
m1118V   5023.0   4.38  -0.03   157.7  0.150  0.150   1
m1138V   4786.0   4.49  -0.13   163.7  0.200  0.200   1
m1151V   4998.0   4.52   0.04   173.2  0.000  0.000   1
m1152V   5033.0   4.54  -0.03   215.6  0.000  0.000   1
m1165V   5036.0   4.48  -0.28   288.9  0.390  0.390   1
m1190V   4873.0   4.50  -0.07   252.0  0.000  0.000   1
m1199V   5020.0   4.50  -0.33   247.3  0.380  0.380   1
m0788V   4441.0   4.51  -0.13   287.1  0.070  0.070   1
m0785V   4472.0   4.39   0.09   194.9  0.000  0.000   1
m0182V   4565.0   4.51  -0.07   214.1  0.200  0.200   1
m0483V   4496.0   4.22  -0.02   199.5 -0.120 -0.120   1
m0426V   4563.0   4.45   0.19   201.7 -0.020 -0.020   1
m0520V   4570.0   4.50   0.06   176.2  0.000  0.000   1
m0532V   4632.0   4.49   0.02   255.7  0.120  0.120   1
m0625V   4476.0   4.57  -0.21   247.7  0.110  0.110   1
m0135V   4527.0   4.67   0.15   190.7  0.000  0.000   1
m0117V   4598.0   4.58   0.33   191.7 -0.090 -0.090   1
m0190V   5027.0   4.51  -0.06    99.0  0.000  0.000   1
m0442V   4645.0   4.68  -0.99   151.2  0.490  0.490   1
m0168V   4810.0   4.46   0.31   338.2 -0.060 -0.060   1
m0115V   4774.0   4.67  -0.31   164.6  0.230  0.230   1
m0583V   4784.0   4.52  -0.26   203.6  0.060  0.060   1
m0835V   4730.0   4.56   0.17   141.7  0.030  0.030   1
m0864V   4874.0   4.56   0.06   365.6 -0.020 -0.020   1
m0316V   4711.9   4.70  -0.56   227.5  0.480  0.480   0
m0552V   4901.0   4.41   0.23   242.2  0.100  0.100   1
m0887V   4832.0   3.17   0.09   264.9 -0.100 -0.100   1
m0128V   4818.0   4.56  -1.04    10.0  0.570  0.570   1
m0542V   4825.0   4.65  -1.42   204.6  0.460  0.460   1
m0594V   4892.0   4.51   0.09   170.6  0.000  0.000   1
m0267V   4951.0   4.59   0.00   200.9 -0.100 -0.100   1
m0569V   5142.0   4.00  -0.70   156.0  0.490  0.490   1
m0031V   5007.0   4.62  -0.26   354.1  0.280  0.280   1
m0136V   4797.0   4.66  -1.76   187.8  0.430  0.430   1
m0010V   4956.0   3.00  -0.66   114.8  0.630  0.630   1
m1119V   4929.0   2.71   0.05   198.6 -0.200 -0.200   1
m1121V   4894.0   2.70  -0.09   168.6 -0.040 -0.040   1
m1136V   4859.0   2.50  -0.62   184.5  0.010  0.010   1
m1142V   5064.0   2.83  -0.16   179.7  0.030  0.030   1
m1148V   5022.0   2.76   0.03   178.3  0.010  0.010   1
m1163V   5043.0   2.89  -0.05   195.8  0.050  0.050   1
m1167V   4792.0   2.40  -0.29   184.7  0.020  0.020   1
m1192V   4896.0   2.51  -0.44   222.0  0.160  0.160   1
m0087V   4833.0   2.60  -0.60    10.0  0.360  0.360   1
m0948V   4790.0   2.52  -0.84    21.3  0.380  0.380   0
m0949V   4793.0   2.50  -0.84    22.4  0.110  0.110   0
m0966V   4840.0   2.35  -0.84    24.2  0.100  0.100   0
m0220V   4022.0   1.44  -0.16   172.2  0.030  0.030   0
m0527V   4129.0   1.82  -0.54   191.1  0.330  0.330   1
m0717V   4034.0   1.44  -0.47   217.9  0.340  0.340   1
m0080V   4043.0   1.66  -0.16   334.0  0.100  0.100   0
m0219V   4308.0   1.00  -0.70   173.7  0.330  0.330   1
m0239V   4067.4   0.93  -0.18   263.1  0.100  0.100   0
m0203V   4000.0   0.90  -0.60   248.8  0.450  0.450   1
